# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 200 200 0 160 0.0155016 0.0242024 0.0312031 0.156416 0.39544 0.466847 0.49825
 200 200 0 80 0.0140014 0.0193019 0.0286029 0.130213 0.385439 0.467747 0.484248
 200 200 0 0 0.012006 0.0171086 0.0227114 0.104252 0.388194 0.471336 0.492746
 200 200 80 160 0.0212042 0.0303061 0.0386077 0.171934 0.352571 0.430686 0.447289
 200 200 80 80 0.0172 0.0227 0.0325 0.1413 0.3483 0.4275 0.4424
 200 200 160 160 0.0327 0.0453 0.0569 0.2322 0.2834 0.365 0.3713
 200 300 0 160 0.0293059 0.0447089 0.0407081 0.110022 0.624925 0.725545 0.691038
 200 300 0 80 0.0269 0.0355 0.0358 0.0814 0.6734 0.7876 0.7232
 200 300 0 0 0.0232046 0.029806 0.0287057 0.0687137 0.688938 0.805261 0.732847
 200 300 80 160 0.0278028 0.039804 0.0377038 0.116912 0.576558 0.688169 0.640264
 200 300 80 80 0.0284028 0.0361036 0.0377038 0.0870087 0.626263 0.745675 0.679568
 200 300 160 160 0.0457091 0.0616123 0.0636127 0.172434 0.440088 0.555411 0.517303
 200 400 0 160 0.0397 0.0458 0.0442 0.0617 0.895 0.9385 0.9155
 200 400 0 80 0.0345138 0.0395158 0.037515 0.05002 0.918267 0.957983 0.931973
 200 400 0 0 0.0277028 0.0324032 0.030103 0.040104 0.921992 0.962696 0.933693
